repeat,fold,branch,control_set,train_images,test_images,accuracy,balanced_accuracy
9,2,random,1,72,25,0.64,0.7611111111111111
9,2,random,2,72,25,0.56,0.5361111111111111
9,2,random,3,72,25,0.6,0.6958333333333333
9,2,random,4,72,25,0.56,0.5361111111111111
9,2,random,5,72,25,0.44,0.42638888888888893
9,2,random,6,72,25,0.6,0.5291666666666667
9,2,random,7,72,25,0.52,0.6111111111111112
9,3,official,-1,75,22,0.7727272727272727,0.5972222222222222
9,3,random,0,75,22,0.5454545454545454,0.607638888888889
9,3,random,1,75,22,0.5454545454545454,0.6006944444444445
9,3,random,2,75,22,0.5,0.5173611111111112
9,3,random,3,75,22,0.5,0.5173611111111112
9,3,random,4,75,22,0.5454545454545454,0.5451388888888888
9,3,random,5,75,22,0.5909090909090909,0.5694444444444444
9,3,random,6,75,22,0.45454545454545453,0.5416666666666666
9,3,random,7,75,22,0.5454545454545454,0.5451388888888888
10,0,official,-1,72,25,0.8,0.7
10,0,random,0,72,25,0.52,0.6541666666666667
10,0,random,1,72,25,0.48,0.44861111111111107
10,0,random,2,72,25,0.48,0.48888888888888893
10,0,random,3,72,25,0.48,0.4861111111111111
10,0,random,4,72,25,0.56,0.5013888888888889
10,0,random,5,72,25,0.44,0.42638888888888893
10,0,random,6,72,25,0.44,0.42638888888888893
10,0,random,7,72,25,0.44,0.3888888888888889
10,1,official,-1,72,25,0.96,0.975
10,1,random,0,72,25,0.6,0.7444444444444445
10,1,random,1,72,25,0.64,0.7666666666666666
10,1,random,2,72,25,0.64,0.6944444444444444
10,1,random,3,72,25,0.56,0.5666666666666667
10,1,random,4,72,25,0.48,0.48333333333333334
10,1,random,5,72,25,0.6,0.6263888888888889
10,1,random,6,72,25,0.56,0.4666666666666667
10,1,random,7,72,25,0.64,0.6194444444444445
10,2,official,-1,72,25,0.6,0.5638888888888889
10,2,random,0,72,25,0.52,0.47916666666666663
10,2,random,1,72,25,0.44,0.4638888888888889
10,2,random,2,72,25,0.56,0.36944444444444446
10,2,random,3,72,25,0.52,0.5791666666666666
10,2,random,4,72,25,0.52,0.47638888888888886
10,2,random,5,72,25,0.52,0.4388888888888889
10,2,random,6,72,25,0.56,0.5069444444444444
10,2,random,7,72,25,0.44,0.49166666666666664
10,3,official,-1,75,22,0.7272727272727273,0.7222222222222222
10,3,random,0,75,22,0.45454545454545453,0.5
10,3,random,1,75,22,0.5,0.4722222222222222
10,3,random,2,75,22,0.45454545454545453,0.4409722222222222
10,3,random,3,75,22,0.4090909090909091,0.513888888888889
10,3,random,4,75,22,0.5,0.46874999999999994
10,3,random,5,75,22,0.5454545454545454,0.5034722222222222
10,3,random,6,75,22,0.5,0.41666666666666663
10,3,random,7,75,22,0.36363636363636365,0.4826388888888889
11,0,official,-1,72,25,0.92,0.9472222222222222
11,0,random,0,72,25,0.56,0.6097222222222223
11,0,random,1,72,25,0.56,0.6444444444444444
11,0,random,2,72,25,0.68,0.6791666666666667
11,0,random,3,72,25,0.56,0.6041666666666666
11,0,random,4,72,25,0.48,0.5138888888888888
11,0,random,5,72,25,0.64,0.6569444444444444
11,0,random,6,72,25,0.56,0.5638888888888889
11,0,random,7,72,25,0.48,0.5541666666666667
11,1,official,-1,72,25,0.68,0.7222222222222222
11,1,random,0,72,25,0.52,0.5513888888888889
11,1,random,1,72,25,0.44,0.3611111111111111
11,1,random,2,72,25,0.36,0.27361111111111114
11,1,random,3,72,25,0.48,0.5513888888888889
11,1,random,4,72,25,0.36,0.27361111111111114
11,1,random,5,72,25,0.44,0.3263888888888889
11,1,random,6,72,25,0.36,0.27361111111111114
11,1,random,7,72,25,0.36,0.4708333333333333
11,2,official,-1,72,25,0.68,0.5819444444444445
11,2,random,0,72,25,0.4,0.5763888888888888
11,2,random,1,72,25,0.36,0.37083333333333335
11,2,random,2,72,25,0.28,0.2833333333333333
11,2,random,3,72,25,0.32,0.3458333333333333
11,2,random,4,72,25,0.4,0.3958333333333333
11,2,random,5,72,25,0.4,0.39861111111111114
11,2,random,6,72,25,0.36,0.3736111111111111
11,2,random,7,72,25,0.44,0.42638888888888893
11,3,official,-1,75,22,0.9090909090909091,0.84375
11,3,random,0,75,22,0.6818181818181818,0.7013888888888888
11,3,random,1,75,22,0.5909090909090909,0.5868055555555556
11,3,random,2,75,22,0.5454545454545454,0.59375
11,3,random,3,75,22,0.5909090909090909,0.5729166666666666
11,3,random,4,75,22,0.3181818181818182,0.3055555555555556
11,3,random,5,75,22,0.45454545454545453,0.4861111111111111
11,3,random,6,75,22,0.5454545454545454,0.5486111111111112
11,3,random,7,75,22,0.6363636363636364,0.6041666666666666
12,0,official,-1,72,25,0.76,0.7694444444444445
12,0,random,0,72,25,0.36,0.5111111111111111
12,0,random,1,72,25,0.6,0.7361111111111112
12,0,random,2,72,25,0.36,0.4083333333333333
12,0,random,3,72,25,0.48,0.5861111111111111
12,0,random,4,72,25,0.52,0.4388888888888889
12,0,random,5,72,25,0.52,0.5111111111111111
12,0,random,6,72,25,0.48,0.4513888888888889
12,0,random,7,72,25,0.44,0.5208333333333333
12,1,official,-1,72,25,0.64,0.4569444444444445
12,1,random,0,72,25,0.44,0.40694444444444444
12,1,random,1,72,25,0.32,0.2513888888888889
12,1,random,2,72,25,0.4,0.26111111111111107
12,1,random,3,72,25,0.44,0.42916666666666664
12,1,random,4,72,25,0.44,0.3888888888888889
12,1,random,5,72,25,0.48,0.35138888888888886
12,1,random,6,72,25,0.44,0.38611111111111107
12,1,random,7,72,25,0.44,0.28888888888888886
12,2,official,-1,72,25,0.72,0.7097222222222221
12,2,random,0,72,25,0.52,0.5194444444444444
12,2,random,1,72,25,0.44,0.39166666666666666
12,2,random,2,72,25,0.48,0.41944444444444445
12,2,random,3,72,25,0.52,0.5444444444444445
12,2,random,4,72,25,0.48,0.41388888888888886
12,2,random,5,72,25,0.44,0.3972222222222222
12,2,random,6,72,25,0.48,0.41666666666666663
12,2,random,7,72,25,0.48,0.5166666666666666
12,3,official,-1,75,22,0.9545454545454546,0.9722222222222222
12,3,random,0,75,22,0.5909090909090909,0.7361111111111112
12,3,random,1,75,22,0.6363636363636364,0.7638888888888888
12,3,random,2,75,22,0.5454545454545454,0.6493055555555556
12,3,random,3,75,22,0.5909090909090909,0.625
12,3,random,4,75,22,0.5909090909090909,0.6770833333333333
12,3,random,5,75,22,0.6363636363636364,0.6527777777777778
12,3,random,6,75,22,0.5909090909090909,0.5659722222222222
12,3,random,7,75,22,0.45454545454545453,0.5972222222222222
13,0,official,-1,72,25,0.8,0.7722222222222221
13,0,random,0,72,25,0.52,0.6513888888888889
13,0,random,1,72,25,0.4,0.43333333333333335
13,0,random,2,72,25,0.4,0.26111111111111107
13,0,random,3,72,25,0.48,0.44861111111111107
13,0,random,4,72,25,0.36,0.23333333333333334
13,0,random,5,72,25,0.44,0.28888888888888886
13,0,random,6,72,25,0.4,0.26111111111111107
