label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Tracery Rose Window,0,nnPU-sampled,20262657,9,24,796,7,42,17,595,2,37,0.021953098475933075,0.04247607663273811,0.15939967334270477,13.861696243286133,0.9459459459459459,0.6666666666666666,0.7614630460739136,0.4463769793510437
Tracery Rose Window,0,IPW-nnPU,20262657,9,24,796,7,42,17,595,2,37,0.021953098475933075,0.04247607663273811,0.15939967334270477,13.861696243286133,0.9324324324324325,0.6428571428571428,0.6107904314994812,0.33425071835517883
Tracery Rose Window,0,FullPool-nnPU,20262657,9,24,796,7,42,17,595,2,37,0.021953098475933075,0.04247607663273811,0.15939967334270477,13.861696243286133,0.9189189189189189,0.3333333333333333,0.6739521622657776,0.31275635957717896
Triangular Pediment,0,PN-sampled,20262693,8,28,696,6,36,23,536,2,39,0.01430957205593586,0.036772701889276505,0.09620466828346252,17.9691104888916,0.9615384615384615,0.5,0.5112853050231934,0.42074260115623474
Triangular Pediment,0,Ignore,20262693,8,28,696,6,36,23,536,2,39,0.01430957205593586,0.036772701889276505,0.09620466828346252,17.9691104888916,0.9743589743589743,0.5833333333333333,0.5600928068161011,0.5040696263313293
Triangular Pediment,0,nnPU-sampled,20262693,8,28,696,6,36,23,536,2,39,0.01430957205593586,0.036772701889276505,0.09620466828346252,17.9691104888916,0.4487179487179487,0.08258258258258258,0.6065309047698975,0.3895815312862396
Triangular Pediment,0,IPW-nnPU,20262693,8,28,696,6,36,23,536,2,39,0.01430957205593586,0.036772701889276505,0.09620466828346252,17.9691104888916,0.5,0.09191176470588236,0.6732964515686035,0.4847438931465149
Triangular Pediment,0,FullPool-nnPU,20262693,8,28,696,6,36,23,536,2,39,0.01430957205593586,0.036772701889276505,0.09620466828346252,17.9691104888916,0.47435897435897434,0.09027777777777778,0.6656792163848877,0.44208240509033203
Wimperg,0,PN-sampled,20261489,8,21,771,6,36,18,590,2,28,0.014696445316076279,0.03362071514129639,0.05492238700389862,15.927877426147461,0.9821428571428572,0.8333333333333333,0.5838229656219482,0.42906445264816284
Wimperg,0,Ignore,20261489,8,21,771,6,36,18,590,2,28,0.014696445316076279,0.03362071514129639,0.05492238700389862,15.927877426147461,0.9821428571428572,0.8333333333333333,0.6149236559867859,0.5042392611503601
Wimperg,0,nnPU-sampled,20261489,8,21,771,6,36,18,590,2,28,0.014696445316076279,0.03362071514129639,0.05492238700389862,15.927877426147461,0.9107142857142858,0.3666666666666667,0.8396087884902954,0.4230574667453766
Wimperg,0,IPW-nnPU,20261489,8,21,771,6,36,18,590,2,28,0.014696445316076279,0.03362071514129639,0.05492238700389862,15.927877426147461,0.9642857142857143,0.75,0.8669849634170532,0.47846803069114685
Wimperg,0,FullPool-nnPU,20261489,8,21,771,6,36,18,590,2,28,0.014696445316076279,0.03362071514129639,0.05492238700389862,15.927877426147461,0.9107142857142858,0.3666666666666667,0.8497231602668762,0.4031374752521515
