entropy_run,num_visited_locations,rho_h1_run,tar_h1_run,bsr_h1_run,rho_h2_run,tar_h2_run,bsr_h2_run,rho_h3_run,tar_h3_run,bsr_h3_run,window_start,window_end,window_index,seed,condition
0.7883556412150514,14.0,0.5316349342960021,0.5924214908038242,0.5924214908038242,0.7649387475917439,1.0080125680620886,1.0080125680620886,0.6313155169983027,0.7436004076445236,0.7436004076445236,1,50,0,2,C4
0.7258044068886323,14.0,0.40098588143779546,0.42482315036938073,0.42482315036938073,0.6108472217815261,0.7102717658515242,0.7102717658515242,0.6294478695349173,0.7405011841119888,0.7405011841119888,51,100,1,2,C4
0.7889873715743806,14.0,0.5108858791649707,0.5639277972692476,0.5639277972692476,0.7961731348940466,1.088071355728976,1.088071355728976,0.6637730846349331,0.799528484652732,0.799528484652732,101,150,2,2,C4
0.9168293772703943,15.0,0.5407065059899656,0.6051534670543338,0.6051534670543338,0.8860446138523277,1.403215047987565,1.403215047987565,,,,1,50,0,3,C1
0.8797799685890034,15.0,0.05181770682403837,0.051864159823468335,0.051864159823468335,0.4746556378779224,0.5160629001272505,0.5160629001272505,,,,51,100,1,3,C1
0.8661297404724583,15.0,-0.06855334778214112,-0.06866104183900269,0.06866104183900269,0.7676574765548865,1.0145989062101597,1.0145989062101597,,,,101,150,2,3,C1
0.9126552539418391,15.0,0.5682887061525614,0.6449916221156199,0.6449916221156199,0.920649836944411,1.5932741813194942,1.5932741813194942,0.5145737504573041,0.5689309777623246,0.5689309777623246,1,50,0,3,C6m
0.8858583422964444,15.0,0.6209177578174042,0.7264973028011672,0.7264973028011672,0.8059072604165864,1.1152411489541239,1.1152411489541239,0.5145737504573041,0.5689309777623246,0.5689309777623246,51,100,1,3,C6m
0.7764220303895073,14.0,0.19258692466473892,0.19502235512385427,0.19502235512385427,0.8521954734355384,1.2641181612604093,1.2641181612604093,0.39172266692256325,0.4138333348080593,0.4138333348080593,101,150,2,3,C6m
0.9004361001771777,15.0,0.7402610142840818,0.9510565817455053,0.9510565817455053,0.9169029422964176,1.5692284086142194,1.5692284086142194,0.5071763905747807,0.558920959731943,0.558920959731943,1,50,0,3,C4
0.8464392933938326,15.0,0.4793116113416425,0.5220901853226831,0.5220901853226831,0.8578056365815581,1.2849782133908432,1.2849782133908432,0.5145737504573041,0.5689309777623246,0.5689309777623246,51,100,1,3,C4
0.8971669378398128,15.0,0.6947141686329005,0.8570104418708437,0.8570104418708437,0.8973842351877187,1.4586199621052716,1.4586199621052716,0.5163450939073368,0.5713432631666903,0.5713432631666903,101,150,2,3,C4
0.936317656421307,15.0,0.44612986067382515,0.4798579758965506,0.4798579758965506,0.8385914247027693,1.2164080711220109,1.2164080711220109,,,,1,50,0,4,C1
0.9300975088847118,15.0,0.2504909463619428,0.25593655661843656,0.25593655661843656,0.5612540433660136,0.6346620460869831,0.6346620460869831,,,,51,100,1,4,C1
0.9110120648048766,15.0,0.38475601102728274,0.40563015930617025,0.40563015930617025,0.49372388709291676,0.5409726679707126,0.5409726679707126,,,,101,150,2,4,C1
0.9319315113208408,15.0,0.6833800531671337,0.8354284194241022,0.8354284194241022,0.9083531669430338,1.5180267569608505,1.5180267569608505,0.5071763905747807,0.558920959731943,0.558920959731943,1,50,0,4,C6m
0.9441961238911906,15.0,0.806324871135889,1.1164337201345853,1.1164337201345853,0.8699449992075989,1.332853426613984,1.332853426613984,0.5071763905747807,0.558920959731943,0.558920959731943,51,100,1,4,C6m
0.9319941793440665,15.0,0.47680972599250376,0.5188471195240786,0.5188471195240786,0.8238551979250772,1.1687006922722603,1.1687006922722603,0.6434325717995281,0.7640095018411425,0.7640095018411425,101,150,2,4,C6m
0.8352230476454519,15.0,0.8319409342904236,1.194407902194461,1.194407902194461,0.9010942708775139,1.4780088830107838,1.4780088830107838,0.6434325717995281,0.7640095018411425,0.7640095018411425,1,50,0,4,C4
0.8292154964345391,15.0,0.7456771974243417,0.9631467508428492,0.9631467508428492,0.8489404678174989,1.2523470109624946,1.2523470109624946,0.5249223545067114,0.5831102588977535,0.5831102588977535,51,100,1,4,C4
0.83640495227053,15.0,0.5179256220456196,0.5735007730828632,0.5735007730828632,0.8847979966207069,1.3974443959937046,1.3974443959937046,0.6678606336786864,0.8068711837834777,0.8068711837834777,101,150,2,4,C4
