label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate
Buttress,24,nnPU(pi=0.50),20285834,10,30,8,48,24,2,32,0.484375,0.08116883116883117,0.9364499449729919,0.7842273712158203,0.0
Buttress,25,PN,20286843,10,30,8,48,24,2,46,0.9673913043478262,0.7,0.5221643447875977,0.4459504187107086,0.08333333333333333
Buttress,25,Ignore,20286843,10,30,8,48,24,2,46,0.9239130434782609,0.375,0.5273329615592957,0.5406700968742371,0.5
Buttress,25,nnPU(pi=0.10),20286843,10,30,8,48,24,2,46,0.5978260869565217,0.07333333333333333,0.9045649766921997,0.22664354741573334,0.0
Buttress,25,nnPU(pi=0.25),20286843,10,30,8,48,24,2,46,0.6630434782608696,0.08712121212121213,0.947744607925415,0.46186020970344543,0.0
Buttress,25,nnPU(pi=0.50),20286843,10,30,8,48,24,2,46,0.6847826086956521,0.2833333333333333,0.9800232648849487,0.8261991143226624,0.0
Buttress,26,PN,20287852,10,30,8,48,24,2,30,0.6,0.12142857142857143,0.4852067232131958,0.41796520352363586,0.0
Buttress,26,Ignore,20287852,10,30,8,48,24,2,30,0.9666666666666667,0.5833333333333333,0.5169788599014282,0.5126206278800964,0.4583333333333333
Buttress,26,nnPU(pi=0.10),20287852,10,30,8,48,24,2,30,0.35,0.07037037037037036,0.6269108057022095,0.20994925498962402,0.0
Buttress,26,nnPU(pi=0.25),20287852,10,30,8,48,24,2,30,0.2833333333333333,0.06346153846153846,0.7814963459968567,0.4216279089450836,0.0
Buttress,26,nnPU(pi=0.50),20287852,10,30,8,48,24,2,30,0.5333333333333333,0.10101010101010101,0.9646708965301514,0.8338992595672607,0.0
Buttress,27,PN,20288861,10,30,8,48,24,2,40,0.7125,0.11212121212121212,0.49245285987854004,0.4233531951904297,0.0
Buttress,27,Ignore,20288861,10,30,8,48,24,2,40,0.875,0.26666666666666666,0.523841381072998,0.5186381340026855,0.625
Buttress,27,nnPU(pi=0.10),20288861,10,30,8,48,24,2,40,0.33749999999999997,0.05213903743315508,0.61904376745224,0.18672259151935577,0.0
Buttress,27,nnPU(pi=0.25),20288861,10,30,8,48,24,2,40,0.33749999999999997,0.05213903743315508,0.8403608798980713,0.4600590765476227,0.0
Buttress,27,nnPU(pi=0.50),20288861,10,30,8,48,24,2,40,0.3125,0.05024509803921569,0.9547697305679321,0.8017928600311279,0.0
Buttress,28,PN,20289870,10,30,8,48,24,2,31,0.967741935483871,0.5833333333333333,0.5339236259460449,0.449442595243454,0.125
Buttress,28,Ignore,20289870,10,30,8,48,24,2,31,0.935483870967742,0.41666666666666663,0.5447478294372559,0.5525302290916443,0.875
Buttress,28,nnPU(pi=0.10),20289870,10,30,8,48,24,2,31,0.5806451612903226,0.10263157894736842,0.8596704006195068,0.20917677879333496,0.0
Buttress,28,nnPU(pi=0.25),20289870,10,30,8,48,24,2,31,0.6935483870967742,0.13392857142857142,0.9134496450424194,0.4397614002227783,0.0
Buttress,28,nnPU(pi=0.50),20289870,10,30,8,48,24,2,31,0.7741935483870969,0.17424242424242425,0.9634740352630615,0.779489278793335,0.0
Buttress,29,PN,20290879,10,30,8,48,24,2,31,0.6935483870967742,0.5476190476190477,0.4617304801940918,0.4060498774051666,0.0
Buttress,29,Ignore,20290879,10,30,8,48,24,2,31,0.967741935483871,0.75,0.5178543329238892,0.5091965198516846,0.5
