label,repeat,method,split_seed,positive_count,unlabeled_count,train_positive,train_reliable_negative,train_unlabeled,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score,unlabeled_mean_score,unlabeled_above_rn95_rate,propensity_floor,propensity_min,propensity_median,propensity_max,positive_weight_ess
Tracery,2,Ignore,20263506,8,24,6,36,18,2,37,0.918918918918919,0.39285714285714285,0.558276891708374,0.5229001641273499,0.3333333333333333,nan,nan,nan,nan,nan
Tracery,2,nnPU(pi=0.10),20263506,8,24,6,36,18,2,37,0.7837837837837838,0.3088235294117647,0.874066948890686,0.19306275248527527,0.0,nan,nan,nan,nan,nan
Tracery,2,nnPU(pi=0.25),20263506,8,24,6,36,18,2,37,0.7837837837837838,0.19166666666666665,0.8456825017929077,0.38924452662467957,0.0,nan,nan,nan,nan,nan
Tracery,2,nnPU(pi=0.50),20263506,8,24,6,36,18,2,37,0.972972972972973,0.75,0.9794999957084656,0.8614755272865295,0.0,nan,nan,nan,nan,nan
Tracery,2,"SA-nnPU(pi=0.25,e>=0.10)",20263506,8,24,6,36,18,2,37,0.8918918918918919,0.29166666666666663,0.9226765632629395,0.4732022285461426,0.0,0.1,0.5132652518953489,0.7501887448580872,0.8683018696828266,5.786645889282227
Tracery,2,"SA-nnPU(pi=0.25,e>=0.20)",20263506,8,24,6,36,18,2,37,0.8918918918918919,0.29166666666666663,0.9226765632629395,0.4732022285461426,0.0,0.2,0.5132652518953489,0.7501887448580872,0.8683018696828266,5.786645889282227
Tracery,3,PN,20264515,8,24,6,36,18,2,30,1.0,1.0,0.531619668006897,0.39200639724731445,0.0,nan,nan,nan,nan,nan
Tracery,3,Ignore,20264515,8,24,6,36,18,2,30,1.0,1.0,0.5510976314544678,0.4793332815170288,0.0,nan,nan,nan,nan,nan
Tracery,3,nnPU(pi=0.10),20264515,8,24,6,36,18,2,30,0.6166666666666667,0.11212121212121212,0.7855409383773804,0.2074868083000183,0.0,nan,nan,nan,nan,nan
Tracery,3,nnPU(pi=0.25),20264515,8,24,6,36,18,2,30,0.7999999999999999,0.19444444444444442,0.9083094596862793,0.477892130613327,0.0,nan,nan,nan,nan,nan
