label,repeat,method,split_seed,positive_count,sampled_count_total,pool_count_total,train_positive,train_reliable_negative,train_sampled,train_full_pool,eval_positive,eval_reliable_negative,sampling_probability_min,sampling_probability_median,sampling_probability_max,ipw_ess,roc_auc,average_precision,eval_positive_mean_score,full_pool_mean_score
Buttress,20,Ignore,20281798,10,29,986,8,48,24,748,2,31,0.01448002364486456,0.028943398967385292,0.07903637737035751,19.22121810913086,0.9516129032258065,0.5,0.5068614482879639,0.4802241921424866
Buttress,20,nnPU-sampled,20281798,10,29,986,8,48,24,748,2,31,0.01448002364486456,0.028943398967385292,0.07903637737035751,19.22121810913086,0.8225806451612904,0.25757575757575757,0.9424278736114502,0.5035446286201477
Buttress,20,IPW-nnPU,20281798,10,29,986,8,48,24,748,2,31,0.01448002364486456,0.028943398967385292,0.07903637737035751,19.22121810913086,0.8709677419354839,0.3611111111111111,0.9770591259002686,0.5932356715202332
Buttress,20,FullPool-nnPU,20281798,10,29,986,8,48,24,748,2,31,0.01448002364486456,0.028943398967385292,0.07903637737035751,19.22121810913086,0.6935483870967741,0.14583333333333331,0.926023006439209,0.41657301783561707
Buttress,21,PN-sampled,20282807,10,29,986,8,48,22,754,2,33,0.0160247590392828,0.03448229283094406,0.07903637737035751,18.147878646850586,0.9090909090909092,0.39285714285714285,0.5184747576713562,0.41422009468078613
Buttress,21,Ignore,20282807,10,29,986,8,48,22,754,2,33,0.0160247590392828,0.03448229283094406,0.07903637737035751,18.147878646850586,0.8787878787878788,0.26785714285714285,0.5191371440887451,0.485526978969574
Buttress,21,nnPU-sampled,20282807,10,29,986,8,48,22,754,2,33,0.0160247590392828,0.03448229283094406,0.07903637737035751,18.147878646850586,0.787878787878788,0.18333333333333335,0.9393538236618042,0.4757898151874542
Buttress,21,IPW-nnPU,20282807,10,29,986,8,48,22,754,2,33,0.0160247590392828,0.03448229283094406,0.07903637737035751,18.147878646850586,0.7575757575757576,0.22916666666666666,0.9495556950569153,0.48143377900123596
Buttress,21,FullPool-nnPU,20282807,10,29,986,8,48,22,754,2,33,0.0160247590392828,0.03448229283094406,0.07903637737035751,18.147878646850586,0.8333333333333333,0.2111111111111111,0.9667094945907593,0.443667471408844
Buttress,22,PN-sampled,20283816,10,29,986,8,48,27,822,2,25,0.01448002364486456,0.03340400382876396,0.07903637737035751,21.76007843017578,0.6599999999999999,0.5526315789473684,0.4915527105331421,0.38047513365745544
Buttress,22,Ignore,20283816,10,29,986,8,48,27,822,2,25,0.01448002364486456,0.03340400382876396,0.07903637737035751,21.76007843017578,0.9600000000000001,0.75,0.5161519050598145,0.46696653962135315
Buttress,22,nnPU-sampled,20283816,10,29,986,8,48,27,822,2,25,0.01448002364486456,0.03340400382876396,0.07903637737035751,21.76007843017578,0.56,0.5416666666666666,0.7744385004043579,0.4812223017215729
Buttress,22,IPW-nnPU,20283816,10,29,986,8,48,27,822,2,25,0.01448002364486456,0.03340400382876396,0.07903637737035751,21.76007843017578,0.62,0.5476190476190477,0.870089054107666,0.4140307903289795
Buttress,22,FullPool-nnPU,20283816,10,29,986,8,48,27,822,2,25,0.01448002364486456,0.03340400382876396,0.07903637737035751,21.76007843017578,0.64,0.55,0.8927963972091675,0.4634118676185608
Buttress,23,PN-sampled,20284825,10,29,986,8,48,24,761,2,31,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.8709677419354839,0.26785714285714285,0.506438136100769,0.4142589271068573
Buttress,23,Ignore,20284825,10,29,986,8,48,24,761,2,31,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.8548387096774194,0.24285714285714285,0.5040653944015503,0.4882359206676483
Buttress,23,nnPU-sampled,20284825,10,29,986,8,48,24,761,2,31,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.6935483870967742,0.13333333333333333,0.9027121067047119,0.44203072786331177
Buttress,23,IPW-nnPU,20284825,10,29,986,8,48,24,761,2,31,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.8225806451612903,0.2111111111111111,0.9554274082183838,0.5204598307609558
Buttress,23,FullPool-nnPU,20284825,10,29,986,8,48,24,761,2,31,0.01448002364486456,0.032412342727184296,0.07903637737035751,19.247943878173828,0.6774193548387097,0.12698412698412698,0.9249963760375977,0.4148097634315491
Buttress,24,PN-sampled,20285834,10,29,986,8,48,24,836,2,32,0.01448002364486456,0.028613660484552383,0.07903637737035751,20.228178024291992,0.46875,0.1553030303030303,0.4201304614543915,0.36428138613700867
Buttress,24,Ignore,20285834,10,29,986,8,48,24,836,2,32,0.01448002364486456,0.028613660484552383,0.07903637737035751,20.228178024291992,0.453125,0.15441176470588236,0.43757164478302,0.4351680278778076
Buttress,24,nnPU-sampled,20285834,10,29,986,8,48,24,836,2,32,0.01448002364486456,0.028613660484552383,0.07903637737035751,20.228178024291992,0.359375,0.07941176470588235,0.7121561765670776,0.3767681121826172
