label,repeat,method,split_seed,positive_count,sampled_count_total,train_positive,train_reliable_negative,train_candidate,selected_pseudo_positive,selection_rate,threshold_mean,vote_mean,selected_score_mean,pseudo_weight,eval_positive,eval_reliable_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,28,Ignore,20289870,10,31,8,48,24,1,0.041666666666666664,0.5445363879203796,1.0416666666666667,0.5716306447982789,0.25,2,31,0.935483870967742,0.41666666666666663,0.5447478294372559
Buttress,28,PositiveExpansion,20289870,10,31,8,48,24,1,0.041666666666666664,0.5445363879203796,1.0416666666666667,0.5716306447982789,0.25,2,31,0.935483870967742,0.41666666666666663,0.5452409982681274
Buttress,29,Ignore,20290879,10,31,8,48,23,0,0.0,0.5026555120944977,0.30434782608695654,nan,0.25,2,31,0.967741935483871,0.75,0.5178543329238892
Buttress,29,PositiveExpansion,20290879,10,31,8,48,23,0,0.0,0.5026555120944977,0.30434782608695654,nan,0.25,2,31,0.967741935483871,0.75,0.5178543329238892
Pilaster,0,Ignore,20261594,11,34,9,54,25,0,0.0,0.5261588633060456,0.2,nan,0.25,2,27,1.0,1.0,0.5810177326202393
Pilaster,0,PositiveExpansion,20261594,11,34,9,54,25,0,0.0,0.5261588633060456,0.2,nan,0.25,2,27,1.0,1.0,0.5810177326202393
Pilaster,1,Ignore,20262603,11,34,9,54,29,0,0.0,0.5528897166252136,0.0,nan,0.25,2,24,1.0,1.0,0.6488485336303711
Pilaster,1,PositiveExpansion,20262603,11,34,9,54,29,0,0.0,0.5528897166252136,0.0,nan,0.25,2,24,1.0,1.0,0.6488485336303711
Pilaster,2,Ignore,20263612,11,34,9,54,31,0,0.0,0.5608260035514832,0.06451612903225806,nan,0.25,2,26,0.7692307692307692,0.5714285714285714,0.5670005679130554
Pilaster,2,PositiveExpansion,20263612,11,34,9,54,31,0,0.0,0.5608260035514832,0.06451612903225806,nan,0.25,2,26,0.7692307692307692,0.5714285714285714,0.5670005679130554
Pilaster,3,Ignore,20264621,11,34,9,54,28,0,0.0,0.5813204646110535,0.0,nan,0.25,2,40,0.8,0.5555555555555556,0.5406336784362793
Pilaster,3,PositiveExpansion,20264621,11,34,9,54,28,0,0.0,0.5813204646110535,0.0,nan,0.25,2,40,0.8,0.5555555555555556,0.5406336784362793
Pilaster,4,Ignore,20265630,11,34,9,54,26,0,0.0,0.5563331604003906,0.0,nan,0.25,2,28,0.8392857142857143,0.5909090909090909,0.508175790309906
Pilaster,4,PositiveExpansion,20265630,11,34,9,54,26,0,0.0,0.5563331604003906,0.0,nan,0.25,2,28,0.8392857142857143,0.5909090909090909,0.508175790309906
Pilaster,5,Ignore,20266639,11,34,9,54,27,0,0.0,0.5619656085968018,0.18518518518518517,nan,0.25,2,29,1.0,1.0,0.6481419801712036
Pilaster,5,PositiveExpansion,20266639,11,34,9,54,27,0,0.0,0.5619656085968018,0.18518518518518517,nan,0.25,2,29,1.0,1.0,0.6481419801712036
Pilaster,6,Ignore,20267648,11,34,9,54,28,0,0.0,0.5505782961845398,0.0,nan,0.25,2,34,0.8529411764705882,0.5833333333333334,0.5426648855209351
Pilaster,6,PositiveExpansion,20267648,11,34,9,54,28,0,0.0,0.5505782961845398,0.0,nan,0.25,2,34,0.8529411764705882,0.5833333333333334,0.5426648855209351
Pilaster,7,Ignore,20268657,11,34,9,54,25,0,0.0,0.5575000882148743,0.04,nan,0.25,2,31,0.967741935483871,0.75,0.6027253866195679
Pilaster,7,PositiveExpansion,20268657,11,34,9,54,25,0,0.0,0.5575000882148743,0.04,nan,0.25,2,31,0.967741935483871,0.75,0.6027253866195679
Pilaster,8,Ignore,20269666,11,34,9,54,29,0,0.0,0.5519285202026367,0.0,nan,0.25,2,33,1.0,1.0,0.658775806427002
Pilaster,8,PositiveExpansion,20269666,11,34,9,54,29,0,0.0,0.5519285202026367,0.0,nan,0.25,2,33,1.0,1.0,0.658775806427002
Pilaster,9,Ignore,20270675,11,34,9,54,26,0,0.0,0.5671803116798401,0.0,nan,0.25,2,24,0.8958333333333333,0.6428571428571428,0.5149263143539429
Pilaster,9,PositiveExpansion,20270675,11,34,9,54,26,0,0.0,0.5671803116798401,0.0,nan,0.25,2,24,0.8958333333333333,0.6428571428571428,0.5149263143539429
Pilaster,10,Ignore,20271684,11,34,9,54,30,0,0.0,0.5788821816444397,0.03333333333333333,nan,0.25,2,29,1.0,1.0,0.6789307594299316
Pilaster,10,PositiveExpansion,20271684,11,34,9,54,30,0,0.0,0.5788821816444397,0.03333333333333333,nan,0.25,2,29,1.0,1.0,0.6789307594299316
Pilaster,11,Ignore,20272693,11,34,9,54,27,0,0.0,0.5328530311584473,0.14814814814814814,nan,0.25,2,24,1.0,1.0,0.6317276954650879
